row_number,row_id,original_name,original_website,source_used,fetch_status,confidence,fields_updated,fields_left_unknown,old_values,new_values,warnings,notes,timestamp_utc
1,1,Doxacon,www.doxacon.org,none,failed,NONE,,,{},{},"Failed to fetch https://www.doxacon.org: HTTPSConnectionPool(host='www.doxacon.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1028)'))) | Attempted URL variants: https://www.doxacon.org, https://www.doxacon.org/, https://doxacon.org/, http://www.doxacon.org/, http://doxacon.org/ | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence | website: kept existing value due to insufficient new evidence",,2026-05-08T09:08:42
2,2,Grand Rapids Comic-Con,www.grcomiccon.com,website,ok,HIGH,website,,"{""website"": ""www.grcomiccon.com""}","{""website"": ""https://www.grcomiccon.com""}",Open Graph/meta tags: Date text contains month words but could not be parsed safely. | Visible page text: Vague/ambiguous date detected ('COMING SOON'). | Visible page text: Date text contains month words but could not be parsed safely. | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T09:08:45
3,3,Heroes Comic Con Stockholm,www.comicconstockholm.se/,website,ok,HIGH,website,,"{""website"": ""www.comicconstockholm.se/""}","{""website"": ""https://www.comicconstockholm.se/""}",Visible page text: Date text contains month words but could not be parsed safely. | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T09:08:48
4,4,Rhode Island Comic Con,www.ricomiccon.com,website,ok,HIGH,website,,"{""website"": ""www.ricomiccon.com""}","{""website"": ""https://www.ricomiccon.com""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T09:08:50
5,5,Twin Cities Con,www.twincitiescon.com,website,ok,HIGH,website,,"{""website"": ""www.twincitiescon.com""}","{""website"": ""https://www.twincitiescon.com""}",Visible page text: Vague/ambiguous date detected ('TBD'). | Visible page text: Date text contains month words but could not be parsed safely. | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T09:08:53
6,6,AugustaCon,theaugustacon.com/,website,partial,HIGH,website,,"{""website"": ""theaugustacon.com/""}","{""website"": ""http://theaugustacon.com/""}",Visible page text: Date text contains month words but could not be parsed safely. | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T09:09:03
7,7,Akron Comicon,www.akroncomicon.com/,website,ok,HIGH,website,,"{""website"": ""www.akroncomicon.com/""}","{""website"": ""https://www.akroncomicon.com/""}",Open Graph/meta tags: Date text contains month words but could not be parsed safely. | Visible page text: Vague/ambiguous date detected ('TBD'). | Visible page text: Date text contains month words but could not be parsed safely. | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T09:09:06
8,8,Collect-A-Con Houston,collectaconusa.com/,website,ok,NONE,,,{},{},Visible page text: Date text contains month words but could not be parsed safely. | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence | website: kept existing value due to insufficient new evidence,,2026-05-08T09:09:08
9,9,NC Comicon: Bull City,www.nccomicon.com/,website,partial,HIGH,website,,"{""website"": ""www.nccomicon.com/""}","{""website"": ""https://nccomicon.com/""}",Open Graph/meta tags: Date text contains month words but could not be parsed safely. | Visible page text: Date text contains month words but could not be parsed safely. | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T09:09:15
10,10,Supanova Comic Con & Gaming - Adelaide,www.supanova.com.au/,website,ok,HIGH,website,,"{""website"": ""www.supanova.com.au/""}","{""website"": ""https://www.supanova.com.au/""}",Visible page text: Date text contains month words but could not be parsed safely. | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T09:09:18
